end_time,exact_times,headway_secs,start_time,trip_id
24:00:00,0,180,07:00:00,02300L9000_1
24:00:00,0,180,07:00:00,02300L9000_0
24:00:00,0,180,06:00:00,02200L9000_1
24:00:00,0,180,06:00:00,02200L9000_0
24:00:00,0,180,05:00:00,02100L9000_1
24:00:00,0,180,05:00:00,02100L9000_0
24:00:00,0,180,7:00:00,02300LB000_1
24:00:00,0,180,7:00:00,02300LB000_0
24:00:00,0,180,6:00:00,02200LB000_1
24:00:00,0,180,6:00:00,02200LB000_0
24:00:00,0,180,5:00:00,02100LB000_1
24:00:00,0,180,5:00:00,02100LB000_0
24:00:00,0,240,7:00:00,02300LA000_1
24:00:00,0,240,7:00:00,02300LA000_0
24:00:00,0,240,6:00:00,02200LA000_1
24:00:00,0,240,6:00:00,02200LA000_0
24:00:00,0,240,5:00:00,02100LA000_1
24:00:00,0,240,5:00:00,02100LA000_0
24:00:00,0,240,7:00:00,02300L8000_1
24:00:00,0,240,7:00:00,02300L8000_0
24:00:00,0,240,6:00:00,02200L8000_1
24:00:00,0,240,6:00:00,02200L8000_0
24:00:00,0,240,5:00:00,02100L8000_1
24:00:00,0,240,5:00:00,02100L8000_0
24:00:00,0,240,7:00:00,02300L7000_1
24:00:00,0,240,7:00:00,02300L7000_0
24:00:00,0,240,6:00:00,02200L7000_1
24:00:00,0,240,6:00:00,02200L7000_0
24:00:00,0,240,5:00:00,02100L7000_1
24:00:00,0,240,5:00:00,02100L7000_0
24:00:00,0,240,7:00:00,02300L6000_1
24:00:00,0,240,7:00:00,02300L6000_0
24:00:00,0,240,6:00:00,02200L6000_1
24:00:00,0,240,6:00:00,02200L6000_0
24:00:00,0,240,5:00:00,02100L6000_1
24:00:00,0,240,5:00:00,02100L6000_0
24:00:00,0,180,7:00:00,02300L5000_1
24:00:00,0,180,7:00:00,02300L5000_0
24:00:00,0,180,6:00:00,02200L5000_1
24:00:00,0,180,6:00:00,02200L5000_0
24:00:00,0,180,5:00:00,02100L5000_1
24:00:00,0,180,5:00:00,02100L5000_0
24:00:00,0,240,7:00:00,02300L4000_1
24:00:00,0,240,7:00:00,02300L4000_0
24:00:00,0,240,6:00:00,02200L4000_1
24:00:00,0,240,6:00:00,02200L4000_0
24:00:00,0,240,5:00:00,02100L4000_1
24:00:00,0,240,5:00:00,02100L4000_0
24:00:00,0,180,7:00:00,02300L3000_1
24:00:00,0,180,7:00:00,02300L3000_0
24:00:00,0,180,6:00:00,02200L3000_1
24:00:00,0,180,6:00:00,02200L3000_0
24:00:00,0,180,5:00:00,02100L3000_1
24:00:00,0,180,5:00:00,02100L3000_0
24:00:00,0,180,7:00:00,02300L2000_1
24:00:00,0,180,7:00:00,02300L2000_0
24:00:00,0,180,6:00:00,02200L2000_1
24:00:00,0,180,6:00:00,02200L2000_0
24:00:00,0,180,5:00:00,02100L2000_1
24:00:00,0,180,5:00:00,02100L2000_0
24:00:00,0,180,7:00:00,0230L12000_1
24:00:00,0,180,7:00:00,0230L12000_0
24:00:00,0,150,6:00:00,0220L12000_1
24:00:00,0,150,6:00:00,0220L12000_0
24:00:00,0,120,5:00:00,0210L12000_1
24:00:00,0,120,5:00:00,0210L12000_0
24:00:00,0,240,7:00:00,02300L1000_1
24:00:00,0,240,7:00:00,02300L1000_0
24:00:00,0,240,6:00:00,02200L1000_1
24:00:00,0,240,6:00:00,02200L1000_0
24:00:00,0,240,5:00:00,02100L1000_1
24:00:00,0,240,5:00:00,02100L1000_0
